MATCH;A;THETA;D
1;0.35375610;0.28746492;0.29706293
1;1.3478932;0.17006809;1.0441298
0;2.3335516;11.576077;1.8731141
1;0.36664647;7.0657988;0.24028610
1;0.44355732;2.4069586;0.71466774
0;9.6783724;65.933769;2.1348212
1;0.44270846;0.60314471;3.4837878
1;4.0297446;6.0585518;1.3108704
1;1.8404064;2.5380220;0.55285990
0;2.7151494;34.820900;1.0472702
0;3.3055170;29.675428;0.78924030
0;8.1783752;12.900472;2.5373282
0;6.2707634;5.9863420;1.8628503
1;1.3040702;7.8367562;0.38838881
0;2.4114966;47.338837;0.35232323
0;3.0819950;67.719208;1.3688847
0;6.0589008;88.833893;0.56866467
1;33.430157;15.320385;0.76600295
1;0.31294256;7.2681489;1.4900315
1;0.37849486;8.7927589;1.4813343
1;1.4181778;19.143412;1.2695150
0;10.603133;15.070465;1.0291265
0;8.1761665;25.792870;0.93375403
1;5.5152898;2.2766349;0.92711067
1;1.1592448;4.1197920;0.93241423
1;1.8330679;1.7181972;1.6195748
0;15.895850;8.6226540;2.5414100
0;2.0762973;20.524578;1.4042622
0;0.30337739;44.868420;0.94534129
1;1.5335289;23.930546;1.4183826
1;0.70076752;9.5013561;0.47949380
0;7.7553573;0.0077323709;0.60331160
1;4.0082831;31.780680;0.89753050
0;1.3405873;46.173748;1.1029181
0;7.0359244;17.368940;1.0938830
0;4.8198285;62.203094;1.0302263
0;9.9774208;1.6091634;0.24544500
0;6.4197054;82.069450;1.3213973
0;6.5314722;86.994324;1.1009239
0;4.5654879;54.528885;1.2027183
0;7.4902444;32.183739;0.69590425
0;8.0589905;83.110062;1.4950836
0;7.6790891;84.643639;1.6226680
0;7.1234870;73.720901;1.0537288
0;5.9585514;79.367638;0.84846306
1;0.60201705;5.7550764;1.8922187
1;0.58557445;1.3919452;1.0836165
0;5.8799887;75.753922;0.81186479
1;0.34252200;2.0446777;0.19255108
1;0.12904245;5.2774062;0.62026912
1;4.8481812;19.335823;6.1841979
1;3.9582024;18.345686;2.9131677
1;0.78220844;14.829162;0.61187518
1;2.8748994;3.9141746;1.2494518
0;6.4083400;27.214487;1.7109624
1;1.4539027;5.9918575;9.2761478
1;3.7160842;3.7404764;1.3193007
1;0.58549160;1.7097298;1.3408604
1;1.2391741;6.3621311;1.1878333
1;2.9375687;8.0633726;4.1169696
1;0.87529278;0.42644322;0.85704613
0;4.8724337;5.5378323;1.2504857
1;2.0243070;0.38556105;0.71610028
1;2.4096503;4.6641517;0.32782531
1;0.27375171;3.7491465;0.82811391
1;3.6140606;13.070560;2.1417279
1;0.71959770;1.0839863;0.49566668
1;0.55460262;6.2362223;0.63011497
1;1.0888931;0.54284668;0.68827730
0;15.325493;27.420174;0.66633081
0;16.657795;25.408781;0.72123492
0;20.819204;31.840647;0.65921479
1;1.7453401;22.877918;1.1487455
1;2.7181973;21.429480;0.65601897
1;3.0678499;6.2007685;0.88106495
0;7.1372328;29.243847;0.80320460
1;0.13319737;6.9286408;0.30047128
1;1.5129932;2.4810400;0.55885255
1;0.47226712;5.7873507;0.85884893
1;1.0129395;7.3240275;0.90620393
1;2.1783445;1.4265801;1.2153018
0;10.495370;6.3999095;1.1681526
1;1.1930562;8.4105196;1.1906651
0;7.5867701;23.029678;1.0298922
1;0.84655893;0.16274068;1.7238587
0;7.3076463;60.221077;0.95154619
1;0.39512116;6.2575355;0.49149352
1;1.3754544;1.6445090;1.0258219
1;1.8014119;0.21075404;0.97500283
0;11.610477;6.6822495;3.4300814
0;8.5773821;4.0404463;2.8766398
1;1.0176221;0.94051057;1.5354878
1;0.50789022;13.890512;2.6401482
1;1.3662622;4.2019320;0.69994211
0;11.122293;13.837106;0.69421601
1;1.8771292;11.199103;0.77171218
0;7.1034741;11.655334;0.94277340
1;1.1427646;1.7528602;3.0072751
0;18.280113;1.9978325;0.35929236
1;1.1341004;10.817804;1.1749128
1;1.2549318;3.5813110;0.70791000
1;0.91472548;2.3328645;0.60751927
1;0.92757368;5.6271439;1.1080681
1;1.2574522;10.764627;1.6177435
0;6.4234610;13.961913;1.0523608
1;0.62040448;12.903659;0.75423628
1;1.7809778;7.2328935;1.0655690
0;7.7673564;77.140976;0.96812528
1;0.23800811;0.59934002;0.53544790
1;1.3569435;0.024650935;0.43138137
0;12.255861;45.296661;3.1073308
1;1.0886517;8.7330217;0.69622409
0;12.075246;0.065746173;0.70040023
0;12.766967;49.895889;3.3979251
0;7.8320174;3.1781218;5.1047111
0;7.3059173;74.541550;9.1356707
0;11.532474;19.634829;4.6132870
1;1.1972984;2.5857847;1.6747636
0;12.653458;30.621840;1.2981408
1;2.4121387;2.1938996;0.65493655
1;6.4479823;5.8184376;1.6117035
1;0.84211785;7.1496067;1.0466578
1;0.35882229;4.7281442;0.89971244
1;4.4796386;11.280223;1.0544301
1;2.5081432;1.4836588;0.81947303
1;4.4156494;2.3769536;2.1962883
0;7.4551215;4.5144567;0.51861292
1;0.94550586;3.0894680;1.6046617
1;0.67239016;1.6694156;0.95675820
0;9.3992643;53.671310;0.92308462
1;2.0625534;7.8701634;1.6812545
1;2.0378301;0.050901007;1.3595740
1;4.4941630;0.22717400;1.9993767
1;0.77199674;4.4401069;0.97890842
1;4.0042329;11.719996;1.2560476
1;1.1695014;5.7638426;0.62015140
1;2.0158837;0.94543284;1.3584516
1;4.6035128;3.5996892;1.9841334
1;3.4566307;6.6364584;1.3206050
1;5.6949458;6.1863585;1.3461993
1;0.42773765;5.9093680;0.29016894
0;9.8948469;77.975716;0.98658466
1;1.6471454;0.42064041;0.84233195
1;1.3965387;0.50925487;1.1652800
0;8.9825268;43.607372;2.8115671
1;1.9355918;3.7597713;2.5539463
0;9.6679897;2.9968376;1.1315343
1;3.1460919;1.1614716;0.82386041
0;4.0957136;41.655701;1.4084038
1;2.3877063;4.7119784;1.5491198
1;3.5241539;11.897458;2.0540872
0;0.60417372;55.098465;1.8336850
0;19.564497;19.203644;2.6380785
0;8.3306713;18.949274;0.54174304
1;5.8937674;7.2789059;3.3995438
1;2.5904956;6.0057893;3.5013759
0;11.892965;37.100021;2.8592775
1;4.2207818;0.26987326;2.9462836
0;9.3085213;5.5558372;2.1121831
1;3.3031940;3.8131621;1.2967584
1;1.7898843;0.066527300;1.1936550
1;3.4332373;6.7243462;2.5432985
1;1.7285353;9.2682209;1.9319788
1;3.9803216;10.338748;1.7764688
1;2.4201994;16.717834;0.73120517
1;2.8527365;29.765598;2.9709027
1;1.4031481;5.0515842;0.97809732
1;1.6045432;7.7008076;0.38243160
1;6.0965972;12.960273;1.3190497
1;9.0690155;14.401291;1.1368210
1;4.1310887;1.3612033;1.4283508
1;6.9717073;17.559462;1.5597034
1;2.8429024;15.785374;1.2494671
1;1.7912719;2.3859308;1.4925770
0;1.9030604;30.248550;1.4265170
1;0.80415684;12.711515;3.7411494
1;1.1048827;18.649790;3.4650276
1;1.3552334;11.903886;2.7772048
1;1.0092945;1.0242735;2.5967729
0;11.545908;35.981651;3.4911189
1;0.86273783;8.6787939;0.64168501
0;8.1247272;71.425781;0.64202166
0;7.6252632;74.294350;0.57406735
0;3.8967810;82.299126;0.49630627
1;1.5346081;33.941200;0.76576638
1;1.1594352;1.0866623;1.9984825
1;2.6939752;1.3427098;3.4260364
0;1.8564177;29.412743;2.5647974
0;2.0496929;24.604780;6.3030505
0;5.8227944;77.886505;1.0053226
0;5.4720001;86.111336;1.3996323
0;6.9586658;39.264931;1.4818501
0;5.0612202;57.776260;1.0035001
0;8.6983652;25.710102;0.91672355
1;1.9399664;0.36009422;0.63180971
1;5.0622239;6.3267999;2.2035294
1;7.3378434;2.9442163;1.0996256
1;7.9539905;2.0155580;1.9774499
1;0.92815888;14.866374;0.82729524
1;3.1954350;13.455734;1.6539085
1;1.1961370;0.52661949;0.76000690
1;0.92778701;7.4144287;1.1012614
1;3.2443950;5.8252397;0.89596909
1;3.9938805;12.909502;1.0153280
0;17.562107;71.382355;3.4355175
0;18.609627;80.627029;2.9827013
0;12.038039;84.139801;1.2916113
0;13.517848;53.007572;1.9251982
1;5.6009378;34.627010;2.3934259
0;8.4417315;58.098385;2.6807156
1;1.9711390;5.7311420;2.2139754
0;12.110959;1.7297136;1.3553449
1;0.54533023;1.3704598;1.1855271
0;12.135295;2.1041701;0.78873301
1;0.50519413;10.928605;1.7187999
0;13.887735;49.836334;2.3834536
0;4.2254949;21.236492;1.1742872
1;2.1490908;2.1387160;1.3264339
1;4.2135625;2.1044912;0.57023424
1;2.4803586;2.5298979;3.2096989
1;4.6811490;0.81819326;2.5712724
0;10.676681;0.10209765;0.72939974
1;5.1977715;23.831650;0.25113174
1;1.8162996;11.594452;0.37136003
1;1.6492176;6.7304964;0.39253736
1;2.5454085;14.256909;0.32340127
1;6.2749572;4.6698837;0.47860616
1;8.3653564;17.366453;0.74500954
1;0.32683891;2.2659373;0.66401595
1;8.2197266;3.0295882;0.81922477
0;8.9830322;35.547108;0.65797132
1;0.67419726;0.0055707684;0.48940563
1;2.2644460;19.821430;0.70314425
0;9.5093498;55.137730;1.3250082
0;1.7662395;69.331558;6.1570144
0;6.6622324;79.185684;2.3605590
0;7.5620847;4.9930058;2.0800667
